iter	RMSE
0	353698.9578
1	340421.9524
2	327746.6425
3	316323.0875
4	305651.0508
5	295573.1845
6	286158.661
7	277228.4252
8	269450.2083
9	261835.6784
10	254998.8224
11	248252.2981
12	242297.6595
13	236542.5899
14	230848.9858
15	225979.8589
16	221346.1677
17	216981.832
18	212844.1178
19	208907.5834
20	205458.2517
21	202224.4724
22	199047.1292
23	195947.8335
24	193234.2602
25	190427.8059
26	188118.3414
27	185891.9068
28	183681.4021
29	181436.0416
30	178883.1566
31	176871.5699
32	175084.4282
33	173157.7273
34	171771.9136
35	170298.1049
36	168742.8694
37	167327.0537
38	165967.8243
39	164614.8837
40	163405.8273
41	162125.9158
42	161109.1023
43	160298.3605
44	159261.1954
45	158438.0525
46	157724.0478
47	157027.6144
48	156324.6244
49	155408.1557
50	154748.3021
51	154282.2282
52	153643.0854
53	152856.5562
54	152096.7833
55	151736.3095
56	150954.4129
57	150308.3956
58	149693.4993
59	148951.1132
60	148215.4254
61	147611.7298
62	147096.9032
63	146541.4755
64	146110.0088
65	145511.0587
66	144791.7928
67	144479.6039
68	143931.522
69	143658.3617
70	143220.6189
71	142954.0859
72	142473.5863
73	142072.3113
74	141882.0742
75	141549.0288
76	141186.263
77	140723.2676
78	140478.6825
79	140174.4145
80	139873.8097
81	139727.2051
82	139504.0422
83	139408.387
84	139005.3588
85	138799.2851
86	138672.8577
87	138367.8458
88	138085.5749
89	137825.3258
90	137652.9751
91	137405.7344
92	137251.7491
93	136998.6637
94	136929.3123
95	136708.1166
96	136587.5738
97	136249.7923
98	136120.5089
99	135799.9235
100	135415.7881
101	135124.2662
102	134903.2068
103	134682.7982
104	134376.0601
105	134159.9077
106	133925.7923
107	133746.4352
108	133554.6838
109	133457.4301
110	133185.4599
111	133010.8318
112	132822.6809
113	132590.5266
114	132498.4152
115	132307.1363
116	132183.577
117	131986.1225
118	131787.1169
119	131511.5271
120	131296.2304
121	131080.7213
122	130956.4863
123	130863.83
124	130656.4971
125	130236.8591
126	130031.3208
127	129880.1177
128	129718.1725
129	129537.5465
130	129386.783
131	129222.2143
132	129022.2432
133	128801.1248
134	128752.5492
135	128536.1638
136	128286.6704
137	128105.9628
138	127845.6588
139	127776.1296
140	127535.3592
141	127369.0022
142	127143.5602
143	126982.913
144	126876.1081
145	126688.9279
146	126548.5853
147	126435.6159
148	126164.9035
149	126002.8642
150	125897.9263
151	125613.8236
152	125392.3329
153	125291.3704
154	125153.691
155	125089.9921
156	124953.8798
157	124692.1306
158	124525.6205
159	124380.5843
160	124224.7402
161	123893.6628
162	123762.567
163	123658.149
164	123501.9688
165	123370.24
166	123242.4366
167	123098.4007
168	122853.9811
169	122767.4542
170	122575.2135
171	122385.554
172	122254.3076
173	122076.1017
174	121977.7784
175	121819.6419
176	121651.4864
177	121523.0867
178	121368.3434
179	121275.5256
180	121144.6286
181	120986.743
182	120856.3724
183	120759.5862
184	120573.6001
185	120464.1215
186	120271.1984
187	120091.6354
188	119926.0697
189	119846.1556
190	119674.4925
191	119556.5119
192	119471.1432
193	119319.4791
194	119177.252
195	118932.9128
196	118793.7463
197	118625.9877
198	118524.1054
199	118427.3219
200	118349.9103
201	118170.7058
202	118037.311
203	117936.4069
204	117838.4826
205	117722.8333
206	117594.957
207	117473.5977
208	117368.0956
209	117293.3685
210	117159.5125
211	117032.2608
212	116909.6578
213	116793.3922
214	116649.522
215	116528.144
216	116440.9962
217	116334.4001
218	116243.6146
219	116173.6051
220	116048.6016
221	115903.4529
222	115826.5493
223	115722.557
224	115621.7266
225	115552.4147
226	115488.0578
227	115369.6628
228	115255.9927
229	115190.7642
230	115098.5262
231	114965.2
232	114908.1234
233	114816.7934
234	114736.5946
235	114640.0403
236	114504.9326
237	114406.6565
238	114285.0754
239	114149.6355
240	114070.0338
241	114011.3666
242	113913.8296
243	113832.148
244	113755.0917
245	113636.2399
246	113514.8002
247	113435.4175
248	113358.3935
249	113249.2927
250	113172.9034
251	113084.9415
252	112986.7768
253	112898.6671
254	112815.7993
255	112708.1752
256	112556.2006
257	112475.7405
258	112370.5204
259	112286.4829
260	112202.5302
261	112104.4954
262	111987.6869
263	111867.5071
264	111774.0201
265	111695.6293
266	111605.4569
267	111499.7092
268	111444.1745
269	111385.1121
270	111292.7743
271	111231.8306
272	111149.9421
273	111053.8533
274	110995.6379
275	110922.7703
276	110860.1277
277	110773.2821
278	110726.7926
279	110673.7381
280	110598.1294
281	110531.4928
282	110453.6532
283	110385.0019
284	110240.6563
285	110187.5467
286	110097.9853
287	110014.6072
288	109936.4814
289	109884.8876
290	109811.2882
291	109751.8383
292	109616.6839
293	109554.3936
