iter	Passed	Remaining
0	159	159676
1	165	82676
2	171	57052
3	176	44033
4	181	36110
5	186	30976
6	192	27293
7	198	24668
8	204	22467
9	209	20725
10	215	19378
11	220	18149
12	226	17206
13	232	16380
14	237	15621
15	242	14939
16	248	14356
17	252	13793
18	257	13295
19	263	12890
20	267	12465
21	272	12092
22	277	11802
23	282	11501
24	287	11214
25	292	10971
26	298	10745
27	302	10516
28	308	10320
29	313	10127
30	317	9926
31	322	9759
32	327	9607
33	332	9439
34	336	9285
35	342	9176
36	347	9038
37	351	8901
38	356	8794
39	361	8679
40	366	8562
41	370	8461
42	375	8360
43	380	8268
44	386	8196
45	392	8132
46	397	8059
47	415	8239
48	420	8163
49	425	8082
50	430	8014
51	435	7942
52	440	7868
53	445	7805
54	450	7736
55	455	7671
56	459	7605
57	464	7546
58	469	7489
59	474	7439
60	479	7385
61	485	7346
62	491	7309
63	496	7261
64	500	7204
65	505	7150
66	509	7100
67	514	7046
68	518	6992
69	523	6955
70	527	6904
71	531	6854
72	536	6809
73	540	6769
74	545	6729
75	549	6686
76	554	6650
77	559	6608
78	562	6563
79	566	6518
80	571	6483
81	575	6444
82	579	6404
83	583	6366
84	588	6337
85	593	6306
86	597	6274
87	602	6242
88	606	6208
89	610	6173
90	614	6141
91	619	6110
92	623	6079
93	627	6049
94	632	6021
95	636	5997
96	641	5968
97	645	5937
98	648	5905
99	653	5880
100	657	5851
101	661	5823
102	665	5794
103	669	5770
104	674	5745
105	678	5720
106	682	5693
107	687	5679
108	691	5655
109	696	5631
110	700	5613
111	704	5589
112	709	5565
113	713	5543
114	718	5530
115	723	5510
116	727	5487
117	731	5467
118	735	5448
119	739	5426
120	744	5405
121	749	5392
122	753	5371
123	757	5350
124	761	5328
125	765	5313
126	769	5291
127	773	5272
128	778	5254
129	783	5241
130	788	5227
131	792	5211
132	799	5215
133	804	5201
134	809	5185
135	814	5173
136	818	5155
137	822	5138
138	826	5121
139	831	5108
140	835	5092
141	839	5074
142	844	5060
143	848	5043
144	852	5027
145	856	5010
146	861	4996
147	865	4982
148	869	4967
149	873	4951
150	878	4938
151	882	4922
152	886	4909
153	891	4894
154	895	4881
155	899	4868
156	904	4854
157	908	4842
158	912	4827
159	916	4812
160	920	4799
161	925	4786
162	929	4773
163	933	4758
164	937	4744
165	941	4731
166	945	4716
167	949	4702
168	953	4690
169	959	4682
170	963	4670
171	967	4659
172	972	4647
173	976	4635
174	980	4623
175	984	4609
176	989	4600
177	994	4590
178	998	4580
179	1002	4568
180	1007	4559
181	1012	4550
182	1017	4540
183	1028	4561
184	1035	4562
185	1042	4563
186	1048	4559
187	1056	4562
188	1063	4561
189	1069	4559
190	1074	4550
191	1078	4539
192	1083	4531
193	1091	4533
194	1095	4524
195	1100	4514
196	1105	4505
197	1109	4495
198	1114	4485
199	1119	4477
200	1123	4466
201	1127	4455
202	1131	4443
203	1136	4434
204	1140	4422
205	1144	4412
206	1149	4403
207	1153	4392
208	1157	4382
209	1161	4370
210	1166	4362
211	1170	4351
212	1175	4341
213	1179	4332
214	1184	4324
215	1188	4314
216	1192	4304
217	1197	4295
218	1202	4286
219	1206	4277
220	1210	4268
221	1215	4260
222	1219	4250
223	1223	4239
224	1227	4229
225	1232	4221
226	1236	4211
227	1240	4201
228	1245	4192
229	1250	4185
230	1254	4175
231	1258	4164
232	1262	4156
233	1267	4148
234	1271	4138
235	1275	4128
236	1280	4121
237	1284	4112
238	1288	4102
239	1292	4093
240	1297	4085
241	1301	4076
242	1305	4066
243	1310	4059
244	1314	4051
245	1319	4043
246	1323	4034
247	1327	4026
248	1331	4017
249	1336	4008
250	1340	3999
251	1344	3991
252	1348	3982
253	1352	3973
254	1357	3965
255	1361	3957
256	1365	3948
257	1370	3941
258	1374	3933
259	1379	3925
260	1383	3916
261	1387	3907
262	1391	3899
263	1395	3890
264	1399	3882
265	1403	3873
266	1408	3865
267	1412	3858
268	1416	3849
269	1420	3841
270	1425	3834
271	1429	3826
272	1433	3818
273	1438	3811
274	1443	3804
275	1447	3797
276	1452	3792
277	1458	3787
278	1462	3780
279	1467	3772
280	1472	3766
281	1476	3759
282	1480	3751
283	1485	3744
284	1490	3738
285	1494	3731
286	1498	3723
287	1503	3717
288	1508	3712
289	1513	3705
290	1517	3697
291	1522	3691
292	1526	3684
293	1531	3677
294	1536	3671
295	1541	3665
296	1545	3658
297	1550	3652
298	1555	3646
299	1560	3640
300	1564	3634
301	1571	3631
302	1575	3624
303	1579	3616
304	1584	3611
305	1589	3603
306	1593	3596
307	1598	3591
308	1603	3586
309	1608	3579
310	1612	3572
311	1618	3568
312	1622	3561
313	1627	3554
314	1632	3548
315	1636	3542
316	1640	3534
317	1644	3527
318	1648	3520
319	1653	3514
320	1658	3507
321	1662	3501
322	1667	3495
323	1671	3488
324	1676	3481
325	1680	3475
326	1685	3467
327	1689	3460
328	1693	3453
329	1698	3448
330	1703	3442
331	1707	3435
332	1712	3430
333	1716	3423
334	1720	3416
335	1725	3409
336	1729	3402
337	1733	3395
338	1737	3388
339	1742	3382
340	1746	3376
341	1751	3368
342	1755	3361
343	1759	3354
344	1763	3348
345	1767	3340
346	1771	3333
347	1776	3327
348	1780	3321
349	1784	3314
350	1789	3308
351	1793	3302
352	1798	3295
